Track name,Artist name,Album,Playlist name,Type,ISRC,BPM,Match Name,Match Artist,Key,Energy,BPM Found
54*40 - Ocean Pearl,,,Blues Band,Playlist,,,Ocean Pearl,54-40,,,No
Gary Moore - Walking By Myself (2002 Remaster),,,Blues Band,Playlist,,,Walking By Myself - 2002 Remaster,Gary Moore,,,No
"Popa Chubby: ""Looking Back""",,,Blues Band,Playlist,,,I Was Looking Back - Live,Popa Chubby,,,No
Lara Price Band - Cut You Loose,,,Blues Band,Playlist,,,Cut You Loose,Lara Price Band,,,No
Santana - Black Magic Woman,,,Blues Band,Playlist,,,Black Magic Woman - Single Version,Santana,,,No
The Doobie Brothers - Long Train Runnin' (2006 Remaster),,,Blues Band,Playlist,,,Long Train Runnin' - 2006 Remaster,The Doobie Brothers,,,No
Stevie Ray Vaughan & Double Trouble - Cold Shot,,,Blues Band,Playlist,,,Cold Shot,Stevie Ray Vaughan,,,No
Stevie Ray Vaughan & Double Trouble - Pride and Joy,,,Blues Band,Playlist,,,Pride and Joy,Stevie Ray Vaughan,,,No
The Jeff Healey Band - I Got A Line On You,,,Blues Band,Playlist,,,I Got a Line on You,The Jeff Healey Band,,,No
Robert Cray - Smoking Gun,,,Blues Band,Playlist,,,Smoking Gun,Robert Cray,,,No
Bill Withers - Use Me,,,Blues Band,Playlist,,,Use Me,Bill Withers,,,No
Gov't Mule - Snatch It Back And Hold It (Official Music Video),,,Blues Band,Playlist,,,Snatch It Back And Hold It > Hold It Back > Snatch It Back And Hold It - Medley,Gov't Mule,,,No
ZZ Top - Beer Drinkers & Hell Raisers (2019 Remaster),,,Blues Band,Playlist,,,Beer Drinkers & Hell Raisers - 2019 Remaster,ZZ Top,,,No
"The Allman Brothers Band - You Don't Love Me ( At Fillmore East, 1971 )",,,Blues Band,Playlist,,,"You Don't Love Me - Live At Fillmore East, March 12, 1971",Allman Brothers Band,,,No
The Rolling Stones - Ain't Too Proud To Beg (Remastered),,,Blues Band,Playlist,,,Ain't Too Proud To Beg - Remastered,The Rolling Stones,,,No
Colin James - Leave This House,,,Blues Band,Playlist,,,Leave This House,Colin James,,,No
Colin James - Keep On Loving Me Baby (High Quality Version),,,Blues Band,Playlist,,,The Next Rap God 2,Dax,,,No
Al Green - Driving Wheel (Official Audio),,,Blues Band,Playlist,,,Aftermath,Kokane,,,No
The Fabulous Thunderbirds - Tuff Enuff,,,Blues Band,Playlist,,,Tuff Enuff,The Fabulous Thunderbirds,,,No
Marcus King - The Well,,,Blues Band,Playlist,,,The Well,Marcus King,,,No
Jonny Lang - Rack 'Em Up,,,Blues Band,Playlist,,,Rack 'Em Up,Jonny Lang,,,No
Kenny Wayne Shepherd Band - Dark Side of Love,,,Blues Band,Playlist,,,Dark Side of Love,Kenny Wayne Shepherd,,,No
Beth Hart - I'd Rather Go Blind - the stunning voice at Pariser Olympia 2020-,,,Blues Band,Playlist,,,I'd Rather Go Blind (feat. Beth Hart & Jan Hammer) - Live at the Hollywood Bowl,Jeff Beck,,,No
Buddy Guy - Mary Ann,,,Blues Band,Playlist,,,Mary Ann,Buddy Guy,,,No
Jonny Lang - Matchbox,,,Blues Band,Playlist,,,Matchbox,Jonny Lang,,,No
Colin James - Ooh Baby Hold Me,,,Blues Band,Playlist,,,Ooh Baby Hold Me,Colin James,,,No
Kenny Wayne Shepherd Band - How Low Can You Go,,,Blues Band,Playlist,,,How Low Can You Go,Kenny Wayne Shepherd,,,No
Buddy Guy - Heavy Love,,,Blues Band,Playlist,,,Midnight Train (feat. Jonny Lang),Buddy Guy,,,No
The Cult - She Sells Sanctuary (Remastered),,,Blues Band,Playlist,,,She Sells Sanctuary - Remastered,The Cult,,,No
Wide Mouth Mason - Why 1999 (The Stereo Video),,,Blues Band,Playlist,,,Walk With Me,Bugzy Malone,,,No
Sari Schorr - I Just Want to Make Love to You (Official),,,Blues Band,Playlist,,,I Just Wanna Make Love to You - Live,Sari Schorr,,,No
Bill Wyman and the Rhythm Kings - Tobacco Road  (HQ)  (Audio only),,,Blues Band,Playlist,,,Tobacco Road,Bill Wyman's Rhythm Kings,,,No
Michael Burks - One More Chance,,,Blues Band,Playlist,,,One More Chance,Michael Burks,,,No
Colin James - Let's Shout (Baby Work Out),,,Blues Band,Playlist,,,Let's Shout (Baby Work Out),Colin James,,,No
The Fabulous Thunderbirds - True Love,,,Blues Band,Playlist,,,True Love,The Fabulous Thunderbirds,,,No
The Kentucky Headhunters - Spirit In The Sky,,,Blues Band,Playlist,,,Spirit In The Sky,The Kentucky Headhunters,,,No
The Commitments - Take Me To The River,,,Blues Band,Playlist,,,Take Me To The River,The Commitments,,,No
Eddie Money - Two Tickets to Paradise (2022 Remaster),,,Blues Band,Playlist,,,Two Tickets to Paradise (2022 Remaster),Eddie Money,,,No
Eddie Money - Baby Hold On (2022 Remaster),,,Blues Band,Playlist,,,Baby Hold On (2022 Remaster),Eddie Money,,,No
The Fabulous Thunderbirds - Powerful Stuff,,,Blues Band,Playlist,,,Powerful Stuff,The Fabulous Thunderbirds,,,No
Nick Gilder - Hot Child In The City,,,Blues Band,Playlist,,,Hot Child in the City - Extended Remix,Nick Gilder,,,No
